Numéro du Club;Numéro Ligue;Numéro Département;Nom du Club
698;LAMPL;DEPT085;SEVRES ANJOU MODELISME
986;LAMPL;DEPT049;RADIOCOMMANDE AERONAUTIQUE DES MAUGES
63;LAMPL;DEPT049;AERO MODELE CLUB ANJOU
1676;LAMPL;DEPT085;AERO MODEL CLUB DOMPIERROIS
644;LAMPL;CDAM044;ACRO MODELES 44
262;LAMPL;DEPT085;AEROMODELISME SABLAIS
1683;LAMPL;DEPT085;L'ESCADRON DES FONTENELLES - EDF
70;LAMPL;CDAM044;M. A. C. DE LOIRE ATLANTIQUE
1623;LAMPL;CDAM044;LIVEYOURDRONE
211;LAMPL;DEPT049;L AEROMODELE CLUB DU CHOLETAIS
179;LAMPL;DEPT072;LES AILES DU MAINE AEROMODELISME
1702;LAMPL;CDAM044;LES AILES SILENCIEUSES ASSERACAISES
1655;LAMPL;CDAM044;AERO MODELISME CLUB CHAPELAIN
1726;LAMPL;CDAM044;AIR MODÈLES CLUB DE GUÉMENÉ
390;LAMPL;CDAM044;AMC DE MONTOIR DE BRETAGNE
1699;LAMPL;DEPT085;AERO MODELE CLUB CHALLANDAIS (AM2C)
88;LAMPL;CDAM053;AERO MODEL CLUB DE LA MAYENNE
1573;LAMPL;DEPT049;ESCADRON DU CHOLETAIS
545;LAMPL;CDAM044;AERO MODEL CLUB DE L'OUEST
114;LAMPL;CDAM044;CLUB DE MODELISME GETIGNOIS
304;LAMPL;DEPT085;ACY MODELISME
655;LAMPL;DEPT072;RADIO MODELE CLUB DE LA FLECHE
689;LAMPL;CDAM053;CLUB D AEROMODELISME DE BAIS
360;LAMPL;DEPT049;CLUB MODELE. REDUIT SAUMUROIS
785;LAMPL;CDAM044;AEROMODELISME MARNAIS
820;LAMPL;DEPT085;AEROMODELISME FONTENAISIEN
1645;LAMPL;CDAM044;AERO MODELISME SUCEEN
1704;LAMPL;CDAM044;LES AILES HAYONNAISES
536;LAMPL;DEPT072;LES COUCOUS DU VAL DE LOIR (LCVL)
200;LAMPL;DEPT085;CLUB MODELISTE LUCONNAIS
94;LAMPL;CDAM044;PRESQU ILE AEROMODELISME
700;LAMPL;CDAM044;ASS. R. M. DES BORDS DE LOIRE
1714;LAMPL;CDAM044;RETZ AEROMODELISME PASSION
1686;LAMPL;CDAM044;AERO-MODELS CLUB LES TETES BRULEES 44 (AMCTB 44)
706;LAMPL;DEPT072;RADIO MODELE CLUB FERTOIS
1545;LAMPL;DEPT049;LES AILES ANDEGAVES
552;LAMPL;CDAM044;CLUB AERO-MOD. DU PAYS DE VILAINE
133;LAMPL;CDAM053;CLUB AEROMODELISTE DE MAYENNE
284;LAMPL;DEPT085;AERO CLUB POUZAUGEAIS
1519;LAMPL;CDAM044;BESNE AERO MODELES CLUB
145;LAMPL;DEPT085;CLUB DE MODELISME DE MONTAIGU
