id;budget_domain;budget_type;budget_description;annual_amount;Montant du forfait(nombre + € ou %);Plafond du forfait (nombre);Quantité (nombre);Devis ou facture nécessaire (0 ou 1);Facture obligatoire (0 ou 1)
1;Structure;Création d'un Club;Création uniquement et non affiliation d’un club existant;2025;600;300€;300;2;0;0
2;Structure;Obtention Label EFAM;École Française d’AéroModélisme, label obtenu;2025;2000;200€;200;10;0;0
3;Structure;Aide création Label EFAM;Aide à la formation des encadrants et à l'obtention du label;2025;500;100€;100;5;0;1
4;Structure;Renouvellement Label EFAM;École Française d’AéroModélisme, label renouvellé;2025;2000;150€;150;0;0;0
5;Organisation;Coupe du Monde;toutes catégories;2025;1000;500€;1000;1;1;1
6;Organisation;Concours FAI;Fédération Aéronautique Internationale;2025;2000;500€;1000;2;1;0
7;Organisation;Concours national;toutes natures;2025;2000;300€;500;4;1;0
8;Organisation;SAPA;aide si déficit justifié sur bilan;2025;750;150€;150;5;0;1
9;Organisation;Journée Portes-Ouvertes;Indoor ou extérieur;2025;750;30€;30;25;0;0
10;Organisation;Journée Examen;QPDD, Brevets;2025;250;50€;50;5;0;0
11;Organisation;Passage d'ailes;toutes natures;2025;1250;50€;50;25;0;0
12;Compétition;Aide pour cadet ou junior;Participation au Championnat d'Europe ou du Monde;2025;1000;250€;250;4;0;0
13;Travaux;Réfection des pistes;Pistes en herbe ou en dur;2025;5000;10%;2500;2;1;1
14;Handicap;Aménagement d'accès aux handicapés;Accès aux pistes, au club-house...;2025;2500;30%;1000;0;1;1
15;Handicap;Actions diverses;Action dans le domaine du handicap;2025;600;30%;300;0;1;1
16;Féminisation;Aménagement de commodités;Hygiène sur le terrain;2025;1500;30%;500;0;1;1
17;Sécurité;Actions sécurité;Achat de filets, création bancs de démarrage...;2025;3000;10%;400;0;1;1
18;Matériel;Matériel de concours;Panneaux lumineux, chronos...;2025;800;30%;400;0;1;1
19;Matériel;Panneaux réglementaires;Accès réservé aux licenciés par exemple;2025;1000;10%;400;0;1;1
20;Jeunes;Actions jeunesse;Actions dans le domaine de la jeunesse;2025;2000;100%;2000;0;1;0
